Time,Lat,Long,Theta,PDOP,V
124110.000,49.10269,2.03872,000.0,0.9,0.0
124111.000,49.10269,2.03872,000.0,0.8,0.0
124112.000,49.10269,2.03872,000.0,0.8,0.0
124113.000,49.10269,2.03872,000.0,0.8,0.0
124114.000,49.10269,2.03872,000.0,0.8,0.0
124115.000,49.10269,2.03872,000.0,0.8,0.0
124116.000,49.10269,2.03872,000.0,0.8,0.0
124117.000,49.10269,2.03872,000.0,0.8,0.0
124118.000,49.10269,2.03872,000.0,0.8,0.0
124119.000,49.10269,2.03872,000.0,0.8,0.0
124120.000,49.10269,2.03872,000.0,0.8,0.0
124121.000,49.10269,2.03872,000.0,0.8,0.0
124122.000,49.10269,2.03872,000.0,0.8,0.0
124123.000,49.10269,2.03872,000.0,0.8,0.0
124124.000,49.10269,2.03872,000.0,0.7,0.0
124125.000,49.10269,2.03872,000.0,0.8,0.0
124126.000,49.10269,2.03872,000.0,0.7,0.0
124127.000,49.10269,2.03872,000.0,0.7,0.0
124128.000,49.10269,2.03872,000.0,0.7,0.0
124129.000,49.10269,2.03872,000.0,0.7,0.0
124130.000,49.10269,2.03872,000.0,0.8,0.0
124131.000,49.10269,2.03872,000.0,0.8,0.0
124132.000,49.10269,2.03872,000.0,0.7,0.0
124133.000,49.10269,2.03872,000.0,0.8,0.0
124134.000,49.10269,2.03872,000.0,0.8,0.0
124135.000,49.10269,2.03872,000.0,0.8,0.0
124136.000,49.10269,2.03872,000.0,0.8,0.0
124137.000,49.10269,2.03872,000.0,0.8,0.0
124138.000,49.10269,2.03872,000.0,0.8,0.0
124139.000,49.10269,2.03872,000.0,0.8,0.0
124140.000,49.10269,2.03872,000.0,0.8,0.0
124141.000,49.10269,2.03872,000.0,0.8,0.0
124142.000,49.10269,2.03872,000.0,0.8,0.0
124143.000,49.10269,2.03872,000.0,0.8,0.0
124144.000,49.10269,2.03872,000.0,0.8,0.0
124145.000,49.10269,2.03872,000.0,0.8,0.0
124146.000,49.10269,2.03872,000.0,0.8,0.0
124147.000,49.10269,2.03872,000.0,0.8,0.0
124148.000,49.10269,2.03872,000.0,0.8,0.0
124149.000,49.10269,2.03872,000.0,0.8,0.0
124150.000,49.10269,2.03872,000.0,0.8,0.0
124151.000,49.10269,2.03872,000.0,0.8,0.0
124152.000,49.10269,2.03872,000.0,0.8,0.0
124153.000,49.10269,2.03872,000.0,0.8,0.0
124154.000,49.10269,2.03872,000.0,0.8,0.0
124155.000,49.10269,2.03872,000.0,0.9,0.0
124156.000,49.10269,2.03872,000.0,0.9,0.0
124157.000,49.10269,2.03872,000.0,0.8,0.0
124158.000,49.10269,2.03872,000.0,0.8,0.0
124159.000,49.10269,2.03872,000.0,0.8,0.0
124200.000,49.10269,2.03872,000.0,1.0,0.0
124201.000,49.10269,2.03872,000.0,0.8,0.0
124202.000,49.10269,2.03872,000.0,0.9,0.0
124203.000,49.10269,2.03872,000.0,0.8,0.0
124204.000,49.10269,2.03872,000.0,0.8,0.0
124205.000,49.10269,2.03872,000.0,0.8,0.0
124206.000,49.10269,2.03872,000.0,0.8,0.0
124207.000,49.10269,2.03872,000.0,0.8,0.0
124208.000,49.10269,2.03872,000.0,0.8,0.0
124209.000,49.10269,2.03872,000.0,0.8,0.0
124210.000,49.10269,2.03872,000.0,0.8,0.0
124211.000,49.10269,2.03872,000.0,0.8,0.0
124212.000,49.10269,2.03872,000.0,0.8,0.0
124213.000,49.10269,2.03872,000.0,0.8,0.0
124214.000,49.10269,2.03872,000.0,0.8,0.0
124215.000,49.10269,2.03872,000.0,0.8,0.0
124216.000,49.10269,2.03872,000.0,0.8,0.0
124217.000,49.10269,2.03872,000.0,0.8,0.0
124218.000,49.10269,2.03872,000.0,0.8,0.0
124219.000,49.10269,2.03872,000.0,0.8,0.0
124220.000,49.10269,2.03872,000.0,0.8,0.0
124221.000,49.10269,2.03872,000.0,0.8,0.0
124222.000,49.10269,2.03872,000.0,0.8,0.0
124223.000,49.10269,2.03872,000.0,0.8,0.0
124224.000,49.10269,2.03872,000.0,0.8,0.0
124225.000,49.10269,2.03872,000.0,0.8,0.0
124226.000,49.10269,2.03872,000.0,0.8,0.0
