Time,Lat,Long,Theta,PDOP,V
19.1140,49.10269,2.03872,000.0,1.4,0.0
20.0938,49.10269,2.03872,000.0,1.4,0.0
21.1212,49.10269,2.03872,000.0,1.3,0.0
22.0932,49.10269,2.03872,000.0,1.3,0.0
23.0938,49.10269,2.03872,000.0,1.3,0.0
24.1205,49.10269,2.03872,000.0,1.3,0.0
25.0938,49.10269,2.03872,000.0,1.3,0.0
26.0932,49.10269,2.03872,000.0,1.3,0.0
27.1205,49.10269,2.03872,000.0,1.3,0.0
28.0938,49.10269,2.03872,000.0,1.3,0.0
29.0932,49.10269,2.03872,000.0,1.3,0.0
30.1205,49.10269,2.03872,000.0,1.3,0.0
31.0932,49.10269,2.03872,000.0,1.3,0.0
32.1140,49.10269,2.03872,000.0,1.3,0.0
33.1208,49.10269,2.03872,000.0,1.3,0.0
34.0934,49.10269,2.03872,000.0,1.3,0.0
35.0936,49.10269,2.03872,000.0,1.3,0.0
36.1209,49.10269,2.03872,000.0,1.3,0.0
37.0936,49.10269,2.03872,000.0,1.3,0.0
38.0936,49.10269,2.03872,000.0,1.3,0.0
39.1207,49.10269,2.03872,000.0,1.3,0.0
40.0934,49.10269,2.03872,000.0,1.3,0.0
41.0936,49.10269,2.03872,000.0,1.3,0.0
42.1207,49.10269,2.03872,000.0,1.3,0.0
43.0934,49.10269,2.03872,000.0,1.3,0.0
44.1145,49.10269,2.03872,000.0,1.3,0.0
45.1418,49.10269,2.03872,000.0,1.3,0.0
46.0940,49.10269,2.03872,000.0,1.3,0.0
47.0940,49.10269,2.03872,000.0,1.1,0.0
48.1214,49.10269,2.03872,000.0,1.1,0.0
49.0940,49.10269,2.03872,000.0,1.3,0.0
50.0934,49.10269,2.03872,000.0,1.3,0.0
51.1210,49.10269,2.03872,000.0,1.1,0.0
52.0934,49.10269,2.03872,000.0,1.1,0.0
53.0938,49.10269,2.03872,000.0,1.1,0.0
54.1212,49.10269,2.03872,000.0,1.1,0.0
55.0938,49.10269,2.03872,000.0,1.1,0.0
56.0938,49.10269,2.03872,000.0,1.1,0.0
57.1415,49.10269,2.03872,000.0,1.1,0.0
58.1143,49.10269,2.03872,000.0,1.1,0.0
59.0938,49.10269,2.03872,000.0,1.3,0.0
60.1212,49.10269,2.03872,000.0,1.3,0.0
61.0941,49.10269,2.03872,000.0,1.3,0.0
62.0932,49.10269,2.03872,000.0,1.3,0.0
63.1208,49.10269,2.03872,000.0,1.1,0.0
64.0933,49.10269,2.03872,000.0,1.1,0.0
65.0933,49.10269,2.03872,000.0,1.3,0.0
66.1214,49.10269,2.03872,000.0,1.3,0.0
67.1143,49.10269,2.03872,000.0,1.3,0.0
68.0934,49.10269,2.03872,000.0,1.3,0.0
69.1210,49.10269,2.03872,000.0,1.3,0.0
70.0942,49.10269,2.03872,000.0,1.3,0.0
71.1143,49.10269,2.03872,000.0,1.3,0.0
72.1208,49.10269,2.03872,000.0,1.3,0.0
73.0935,49.10269,2.03872,000.0,1.3,0.0
74.0935,49.10269,2.03872,000.0,1.3,0.0
75.1208,49.10269,2.03872,000.0,1.3,0.0
76.0935,49.10269,2.03872,000.0,1.3,0.0
77.0935,49.10269,2.03872,000.0,1.3,0.0
78.1208,49.10269,2.03872,000.0,1.3,0.0
79.0935,49.10269,2.03872,000.0,1.3,0.0
80.0937,49.10269,2.03872,000.0,1.3,0.0
81.1218,49.10269,2.03872,000.0,1.3,0.0
82.0933,49.10269,2.03872,000.0,1.3,0.0
83.1145,49.10269,2.03872,000.0,1.3,0.0
84.1419,49.10269,2.03872,000.0,1.3,0.0
85.0935,49.10269,2.03872,000.0,1.3,0.0
86.0941,49.10269,2.03872,000.0,1.3,0.0
87.1215,49.10269,2.03872,000.0,1.3,0.0
88.0935,49.10269,2.03872,000.0,1.3,0.0
89.0946,49.10269,2.03872,000.0,1.3,0.0
90.1220,49.10269,2.03872,000.0,1.3,0.0
91.0935,49.10269,2.03872,000.0,1.3,0.0
92.0946,49.10269,2.03872,000.0,1.3,0.0
93.1215,49.10269,2.03872,000.0,1.3,0.0
94.0941,49.10269,2.03872,000.0,1.3,0.0
95.0935,49.10269,2.03872,000.0,1.3,0.0
96.1219,49.10269,2.03872,000.0,1.3,0.0
97.1146,49.10269,2.03872,000.0,1.3,0.0
98.0935,49.10269,2.03872,000.0,1.3,0.0
99.1215,49.10269,2.03872,000.0,1.3,0.0
100.0936,49.10269,2.03872,000.0,1.3,0.0
101.0941,49.10269,2.03872,000.0,1.3,0.0
102.1215,49.10269,2.03872,000.0,1.3,0.0
103.0941,49.10269,2.03872,000.0,1.3,0.0
104.0942,49.10269,2.03872,000.0,1.3,0.0
105.1215,49.10269,2.03872,000.0,1.3,0.0
106.0947,49.10269,2.03872,000.0,1.3,0.0
107.0942,49.10269,2.03872,000.0,1.3,0.0
108.1219,49.10269,2.03872,000.0,1.3,0.0
109.0946,49.10269,2.03872,000.0,1.4,0.0
110.1146,49.10269,2.03872,000.0,1.4,0.0
111.1208,49.10269,2.03872,000.0,1.4,0.0
112.0933,49.10269,2.03872,000.0,1.4,0.0
113.0934,49.10269,2.03872,000.0,1.3,0.0
114.1209,49.10269,2.03872,000.0,1.3,0.0
115.1146,49.10269,2.03872,000.0,1.3,0.0
116.0941,49.10269,2.03872,000.0,1.3,0.0
117.1214,49.10269,2.03872,000.0,1.3,0.0
118.0939,49.10269,2.03872,000.0,1.3,0.0
119.0936,49.10269,2.03872,000.0,1.4,0.0
120.1216,49.10269,2.03872,000.0,1.4,0.0
121.0947,49.10269,2.03872,000.0,1.3,0.0
122.0946,49.10269,2.03872,000.0,1.3,0.0
123.1419,49.10269,2.03872,000.0,1.4,0.0
124.0939,49.10269,2.03872,000.0,1.4,0.0
125.0936,49.10269,2.03872,000.0,1.3,0.0
126.1209,49.10269,2.03872,000.0,1.3,0.0
127.0936,49.10269,2.03872,000.0,1.3,0.0
128.0940,49.10269,2.03872,000.0,1.3,0.0
129.1209,49.10269,2.03872,000.0,1.3,0.0
130.0942,49.10269,2.03872,000.0,1.3,0.0
131.0946,49.10269,2.03872,000.0,1.3,0.0
132.1220,49.10269,2.03872,000.0,1.3,0.0
133.0937,49.10269,2.03872,000.0,1.3,0.0
134.0942,49.10269,2.03872,000.0,1.3,0.0
135.1420,49.10269,2.03872,000.0,1.3,0.0
136.1147,49.10269,2.03872,000.0,1.3,0.0
137.0986,49.10269,2.03872,000.0,1.3,0.0
138.1220,49.10269,2.03872,000.0,1.3,0.0
139.0947,49.10269,2.03872,000.0,1.3,0.0
140.0947,49.10269,2.03872,000.0,1.3,0.0
141.1230,49.10269,2.03872,000.0,1.3,0.0
142.0942,49.10269,2.03872,000.0,1.3,0.0
143.0943,49.10269,2.03872,000.0,1.3,0.0
144.1220,49.10269,2.03872,000.0,1.3,0.0
145.0943,49.10269,2.03872,000.0,1.3,0.0
146.0947,49.10269,2.03872,000.0,1.3,0.0
147.1230,49.10269,2.03872,000.0,1.3,0.0
148.0976,49.10269,2.03872,000.0,1.3,0.0
149.1142,49.10269,2.03872,000.0,1.3,0.0
150.1210,49.10269,2.03872,000.0,1.3,0.0
151.0937,49.10269,2.03872,000.0,1.3,0.0
152.0937,49.10269,2.03872,000.0,1.3,0.0
153.1210,49.10269,2.03872,000.0,1.3,0.0
154.0948,49.10269,2.03872,000.0,1.3,0.0
155.0943,49.10269,2.03872,000.0,1.3,0.0
156.1216,49.10269,2.03872,000.0,1.3,0.0
157.0943,49.10269,2.03872,000.0,1.3,0.0
158.0943,49.10269,2.03872,000.0,1.3,0.0
159.1216,49.10269,2.03872,000.0,1.3,0.0
160.0947,49.10269,2.03872,000.0,1.3,0.0
161.1147,49.10269,2.03872,000.0,1.3,0.0
162.1420,49.10269,2.03872,000.0,1.3,0.0
163.0947,49.10269,2.03872,000.0,1.3,0.0
164.0941,49.10269,2.03872,000.0,1.3,0.0
165.1216,49.10269,2.03872,000.0,1.3,0.0
166.0943,49.10269,2.03872,000.0,1.3,0.0
167.0943,49.10269,2.03872,000.0,1.3,0.0
168.1215,49.10269,2.03872,000.0,1.3,0.0
169.0941,49.10269,2.03872,000.0,1.3,0.0
170.0941,49.10269,2.03872,000.0,1.3,0.0
171.1217,49.10269,2.03872,000.0,1.3,0.0
172.0943,49.10269,2.03872,000.0,1.3,0.0
173.0936,49.10269,2.03872,000.0,1.3,0.0
174.1421,49.10269,2.03872,000.0,1.3,0.0
175.1147,49.10269,2.03872,000.0,1.3,0.0
176.0943,49.10269,2.03872,000.0,1.3,0.0
177.1219,49.10269,2.03872,000.0,1.3,0.0
178.0948,49.10269,2.03872,000.0,1.3,0.0
179.0943,49.10269,2.03872,000.0,1.3,0.0
180.1217,49.10269,2.03872,000.0,1.3,0.0
181.0943,49.10269,2.03872,000.0,1.3,0.0
182.0943,49.10269,2.03872,000.0,1.3,0.0
183.1213,49.10269,2.03872,000.0,1.3,0.0
184.0938,49.10269,2.03872,000.0,1.3,0.0
185.0943,49.10269,2.03872,000.0,1.3,0.0
186.1217,49.10269,2.03872,000.0,1.3,0.0
187.1148,49.10269,2.03872,000.0,1.3,0.0
188.1148,49.10269,2.03872,000.0,1.3,0.0
